122,BMSR,PT Bintang Mitra Semestaraya Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
123,BMTP,PT Bank Mandiri Taspen,Financial and Sharia,Finance,Bank
124,BMTR,PT Global Mediacom Tbk.,General,"Trade, Services & Investment",Investment Company
125,BNBA,PT Bank Bumi Arta Tbk.,Financial and Sharia,Finance,Bank
126,BNBR,PT Bakrie & Brothers Tbk.,General,"Trade, Services & Investment",Investment Company
127,BNGA,PT Bank CIMB Niaga Tbk.,Financial and Sharia,Finance,Bank
128,BNII,PT Bank Maybank Indonesia Tbk.,Financial and Sharia,Finance,Bank
129,BNLI,PT Bank Permata Tbk.,Financial and Sharia,Finance,Bank
130,BNTT,PT Bank Pembangunan Nusa,Financial and Sharia,Finance,Bank
"",,Tenggara Timur,,,
131,BOGA,PT Bintang Oto Global Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
132,BOLA,PT Bali Bintang Sejahtera Tbk.,General,"Trade, Services & Investment",Others
133,BOLT,PT Garuda Metalindo Tbk.,General,Miscellaneous Industry,Automotive And Components
134,BOSS,PT Borneo Olah Sarana Sukses Tbk.,General,Mining,Coal Mining
135,BPFI,PT Batavia Prosperindo Finance Tbk.,Financing,Finance,Financial Institution
136,BPII,PT Batavia Prosperindo International,General,Finance,Others
"",,Tbk.,,,
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
137,BPTR,PT Batavia Prosperindo Trans Tbk.,General,"Infrastructure, Utilities  And Transportation",Transportation
138,BRAM,PT Indo Kordsa Tbk.,General,Miscellaneous Industry,Automotive And Components
139,BRIS,PT Bank BRISyariah Tbk.,Financial and Sharia,Finance,Bank
140,BRMS,PT Bumi Resources Minerals Tbk.,General,Mining,Metal And Mineral Mining
141,BRNA,PT Berlina Tbk.,General,Basic Industry And Chemicals,Plastics & Packaging
142,BRPT,PT Barito Pacific Tbk.,General,Basic Industry And Chemicals,Chemicals
143,BSBR,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Bank
"",,Sumatera Barat,,,
144,BSDE,PT Bumi Serpong Damai Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
145,BSIM,PT Bank Sinarmas Tbk.,Financial and Sharia,Finance,Bank
146,BSMT,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Bank
"",,Sumatera Utara,,,
147,BSSB,PT Bank Pembangunan Daerah,Financial and Sharia,Finance,Bank
"",,Sulawesi Selatan Dan Barat,,,
148,BSSR,PT Baramulti Suksessarana Tbk.,General,Mining,Coal Mining
149,BSWD,PT Bank of India Indonesia Tbk.,Financial and Sharia,Finance,Bank
150,BTEK,PT Bumi Teknokultura Unggul Tbk.,General,Consumer Goods Industry,Food And Beverages
151,BTEL,PT Bakrie Telecom Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Telecommunication
"",,,Infrastructure,,
152,BTON,PT Betonjaya Manunggal Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
153,BTPN,PT Bank BTPN Tbk.,Financial and Sharia,Finance,Bank
154,BTPS,PT Bank Tabungan Pensiunan,Financial and Sharia,Finance,Bank
"",,Nasional Syariah Tbk.,,,
155,BUDI,PT Budi Starch & Sweetener Tbk.,General,Consumer Goods Industry,Food And Beverages
156,BUKK,PT Bukaka Teknik Utama Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,,Infrastructure,,
157,BULL,PT Buana Lintas Lautan Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
158,BUMI,PT Bumi Resources Tbk.,General,Mining,Coal Mining
