"country","povertyRate","pop2020"
"Kiribati","21.8000","119.4490"
"India","21.9000","1380004.3850"
"Panama","22.1000","4314.7670"
"Kyrgyzstan","22.4000","6524.1950"
"Tonga","22.5000","105.6950"
"Bulgaria","22.6000","6948.4450"
"El Salvador","22.8000","6486.2050"
"Latvia","22.9000","1886.1980"
"Moldova","23","4033.9630"
"Ghana","23.4000","31072.9400"
"Ethiopia","23.5000","114963.5880"
"Armenia","23.5000","2963.2430"
"Montenegro","23.6000","628.0660"
"Romania","23.8000","19237.6910"
"Paraguay","24.2000","7132.5380"
"Pakistan","24.3000","220892.3400"
"Bangladesh","24.3000","164689.3830"
"Serbia","24.3000","8737.3710"
"Myanmar","24.8000","54409.8000"
"Nicaragua","24.9000","6624.5540"
"Palau","24.9000","18.0940"
"Ecuador","25","17643.0540"
"Saint Lucia","25","183.6270"
"Nepal","25.2000","29136.8080"
"Tajikistan","26.3000","9537.6450"
"Tuvalu","26.3000","11.7920"
"Tanzania","26.4000","59734.2180"
"Colombia","27","50882.8910"
"Lebanon","27.4000","6825.4450"
"Mongolia","28.4000","3278.2900"
"Palestine","29.2000","5101.4140"
"Mauritania","31","4649.6580"
"Grenada","32","112.5230"
"Angola","32.3000","32866.2720"
"Egypt","32.5000","102334.4040"
"Venezuela","33.1000","28435.9400"
"Gabon","33.4000","2225.7340"
"Fiji","34","896.4450"
"Bolivia","34.6000","11673.0210"
"Guyana","35","786.5520"
"Syria","35.2000","17500.6580"
"Argentina","35.5000","45195.7740"
"Kenya","36.1000","53771.2960"
"Cameroon","37.5000","26545.8630"
"Rwanda","38.2000","12952.2180"
"Zimbabwe","38.3000","14862.9240"
"Benin","38.5000","12123.2000"
"Seychelles","39.3000","98.3470"
"Ivory Coast","39.5000","26378.2740"
"Papua New Guinea","39.9000","8947.0240"
"Nigeria","40.1000","206139.5890"
"Belize","41.3000","397.6280"
"Burkina Faso","41.4000","20903.2730"
"Timor-Leste","41.8000","1318.4450"
"Mexico","41.9000","128932.7530"
"Mali","42.1000","20250.8330"
"Chad","42.3000","16425.8640"
"Comoros","42.4000","869.6010"
"Guinea","43.7000","13132.7950"
"Mozambique","46.1000","31255.4350"
"Sudan","46.5000","43849.2600"
"Senegal","46.7000","16743.9270"
"Honduras","48.3000","9904.6070"
"Yemen","48.6000","29825.9640"
"Gambia","48.6000","2416.6680"
"Lesotho","49.7000","2142.2490"
"Liberia","50.9000","5057.6810"
"Malawi","51.5000","19129.9520"
"Zambia","54.4000","18383.9550"
"Afghanistan","54.5000","38928.3460"
"Togo","55.1000","8278.7240"
"South Africa","55.5000","59308.6900"
"Sierra Leone","56.8000","7976.9830"
"Haiti","58.5000","11402.5280"
"Guatemala","59.3000","17915.5680"
"Central African Republic","62","4829.7670"
"Burundi","64.9000","11890.7840"
"Sao Tome and Principe","66.7000","219.1590"
"Eritrea","69","3546.4210"
"Guinea-Bissau","69.3000","1968.0010"
"Madagascar","70.7000","27691.0180"
"Equatorial Guinea","76.8000","1402.9850"
"South Sudan","82.3000","11193.7250"
